方案,周期τ,反馈迭代k*,q_F1,q_F2,q_F3,q_F4,q_F5,q_F6,C_max,OT,ρ,可接受,当期库存成本,当期延期成本
A,1,0,20,0,0,0,0,15,291.0,0.0,1.0,1,0.0,0.0
A,2,0,0,15,0,18,0,0,347.6,0.0,1.0,1,0.0,0.0
A,3,0,15,0,0,0,0,10,246.2,0.0,1.0,1,0.0,144.0
A,4,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.0,604.0
A,5,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.0,964.0
A,6,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.0,1328.0
A,7,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.0,1792.0
A,8,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.0,2178.0
A,9,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.0,2558.0
A,10,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.0,2774.0
B,1,0,20,0,0,0,0,15,289.4,0.0,1.0,1,0.0,0.0
B,2,0,0,15,0,18,0,0,347.6,0.0,1.0,1,0.0,0.0
B,3,0,15,0,12,0,0,10,393.0,0.0,1.0,1,0.0,0.0
B,4,0,12,20,0,20,0,0,862.4,382.4,0.0,0,0.0,0.0
B,5,0,6,0,0,0,10,20,448.2,0.0,1.0,1,0.0,0.0
B,6,0,18,0,0,15,0,8,399.2,0.0,1.0,1,0.0,0.0
B,7,0,0,0,20,0,16,0,687.4,207.4,0.0,0,0.0,0.0
B,8,0,0,18,0,10,0,18,477.0,0.0,1.0,1,0.0,0.0
B,9,0,10,8,0,12,8,0,455.0,0.0,1.0,1,0.0,0.0
B,10,0,0,0,10,0,0,12,255.5,0.0,1.0,1,0.0,0.0
C,1,0,20,0,0,0,0,15,289.4,0.0,1.0,1,0.0,0.0
C,2,0,0,15,0,18,0,0,347.6,0.0,1.0,1,0.0,0.0
C,3,0,15,0,12,0,0,10,388.0,0.0,1.0,1,0.0,0.0
C,4,2,0,20,0,20,0,0,450.0,0.0,1.0,1,0.0,120.0
C,5,2,18,0,0,0,0,20,303.6,0.0,1.0,1,0.0,140.0
C,6,3,18,0,0,0,10,8,432.8,0.0,1.0,1,0.0,120.0
C,7,3,0,0,0,9,16,12,425.0,0.0,1.0,1,12.0,288.0
C,8,2,0,0,20,17,0,6,438.3,0.0,1.0,1,2.0,162.0
C,9,2,10,0,0,11,8,0,337.9,0.0,1.0,1,0.0,234.0
C,10,2,0,26,0,0,0,12,379.6,0.0,1.0,1,0.0,120.0
D,1,0,20,0,0,0,0,15,289.4,0.0,1.0,1,0.0,0.0
D,2,0,0,15,0,18,0,0,347.6,0.0,1.0,1,0.0,0.0
D,3,0,15,0,12,0,0,10,399.3,0.0,1.0,1,0.0,0.0
D,4,2,0,20,0,20,0,0,450.0,0.0,1.0,1,0.0,120.0
D,5,2,18,0,0,0,0,20,303.6,0.0,1.0,1,0.0,140.0
D,6,2,18,0,0,0,12,8,458.0,0.0,1.0,1,6.0,120.0
D,7,2,0,0,20,15,0,4,404.8,0.0,1.0,1,4.0,196.0
D,8,2,0,0,0,11,14,14,458.6,0.0,1.0,1,2.0,162.0
D,9,2,10,0,0,11,8,0,337.9,0.0,1.0,1,0.0,234.0
D,10,2,0,26,0,0,0,12,379.6,0.0,1.0,1,0.0,120.0
